,SCAN0 ,DC-SCAN0,SCAN-50,DC-SCAN-50,SCANc+HF,DC-SCANc+HF
Prism,-43.79467683,-41.15928577,-43.85208708,-42.08787927,-45.27813157,-45.39585446
Cage,-43.36077733,-40.75606069,-43.46440317,-41.74438846,-44.9821384,-45.09769434
Book 1,-40.58702582,-38.24749025,-41.11050137,-39.63354385,-43.28505654,-43.39363094
Book 2,-40.69676354,-38.34668386,-41.18934712,-39.69294837,-43.30147202,-43.41271167
Bag,-39.81549833,-37.41562308,-40.23455111,-38.72064483,-42.21859009,-42.33586595
Cyclic chair,-36.93760642,-35.12611532,-37.8911788,-36.68038102,-40.66829373,-40.7589356
Cyclic boat 1,-36.44640334,-34.63079093,-37.32344546,-36.10955785,-39.97391146,-40.06410736
Cyclic boat 2,-36.34468511,-34.50576811,-37.24662027,-36.04138216,-39.92714994,-40.01558287
