nB,SAMBA,wB97M_V,DC-SCAN,DM21,,errors wB97M-V,error DC-SCAN,error DM21
2b,-114.651,-115.6948845,-117.3606933,-115.9255393,,-1.043884461,-2.709693332,-1.27453931
3b,7.25,8.79006102,9.029776955,9.477237931,,1.54006102,1.779776955,2.227237931
4b,1.39,0.3626494202,0.7067082484,-0.509489306,,-1.02735058,-0.6832917516,-1.899489306
5b,-0.153,0.1960753609,0.03760336811,0.4226030795,,0.3490753609,0.1906033681,0.5756030795
6b,0.014,-0.02989449421,-0.008087132832,-5.04E-02,,-0.04389449421,-0.02208713283,-6.44E-02
,,,,,,,,
,-106.15,-106.3759932,-107.5946919,-106.5856208,,,,
,,,,,,,,
E_disp=,-7.67574565,,,,,,,
