nB,SAMBA,wB97M_V,DC-SCAN,DM21,,errors wB97M-V,error DC-SCAN,error DM21
2b,-126.399,-127.0361947,-128.5517995,-126.4210708,,-0.6371946567,-2.152799452,-0.02207079024
3b,4.889,5.638132088,5.351335921,5.662380091,,0.7491320879,0.4623359206,0.7733800907
4b,0.815,0.7270202067,0.7845121572,0.6621750932,,-0.08797979327,-0.03048784284,-0.1528249068
5b,-0.077,-0.06243749009,-0.07608505379,-0.05513878582,,0.01456250991,0.0009149462136,0.02186121418
6b,0.002,0.0004077511108,0.00164637921,-5.69E-05,,-0.001592248889,-0.00035362079,-2.06E-03
,,,,,,,,
,,,,,,,,
,,,,,,,,
E_disp =,-4.576803548,,,,,,,
